"","loc.epochs.c","loc.epochs.r","loc.epochs.s","gl.epochs.c","gl.epochs.r","gl.epochs.s","ordered.loc.epochs.c","ordered.loc.epochs.r","ordered.loc.epochs.s"
"555",127,1625,165,0,1879,0,931,555,160
"556",123,1603,157,0,1861,0,934,545,161
"557",128,1598,166,0,1864,0,948,557,161
"558",132,1600,190,0,1868,0,956,549,169
"559",141,1610,165,0,1895,0,997,544,170
"560",132,1594,166,0,1883,0,959,562,158
"561",144,1549,162,0,1874,0,953,541,161
"562",135,1564,159,0,1893,0,956,511,164
"563",138,1574,170,0,1853,0,984,518,152
"564",145,1594,154,0,1864,0,971,537,160
"565",143,1599,158,0,1805,0,967,533,166
"566",138,1587,157,0,1831,0,991,538,155
"567",150,1628,158,0,1848,0,972,553,159
"568",153,1567,165,0,1857,0,961,547,149
"569",148,1589,178,0,1869,0,969,535,155
"570",153,1572,179,0,1906,0,971,542,162
"571",146,1571,182,0,1892,0,968,527,151
"572",142,1594,184,0,1923,0,976,526,149
"573",145,1598,184,0,1919,0,978,506,157
"574",139,1614,192,0,1889,0,987,512,159
"575",130,1595,190,0,1908,0,1010,525,157
"576",134,1594,182,0,1923,0,1002,523,150
"577",133,1629,174,0,1918,0,986,524,153
"578",133,1609,170,0,1918,0,971,518,145
"579",138,1560,171,0,1906,0,946,508,149
"580",149,1603,165,0,1876,0,967,531,158
"581",159,1590,160,0,1882,0,996,503,156
"582",155,1623,148,0,1878,0,965,508,161
"583",149,1596,148,0,1906,0,987,518,160
"584",154,1587,146,0,1906,0,1005,505,148
"585",147,1594,147,0,1866,0,1007,519,152
"586",157,1601,157,0,1860,0,961,514,157
"587",153,1613,147,0,1858,0,960,502,163
