"","ordered.gl.epochs.c","ordered.gl.epochs.r","ordered.gl.epochs.s"
"846",0,0,1689
"847",0,0,1712
"848",0,0,1723
"849",0,0,1721
"850",0,0,1724
"851",0,0,1710
"852",0,0,1721
"853",0,0,1745
"854",0,0,1715
"855",0,0,1688
"856",0,0,1702
"857",0,0,1688
"858",0,0,1722
"859",0,0,1705
"860",0,0,1732
"861",0,0,1717
"862",0,0,1756
"863",0,0,1723
"864",0,0,1711
"865",0,0,1705
"866",0,0,1734
"867",0,0,1762
"868",0,0,1735
"869",0,0,1708
"870",0,0,1728
"871",0,0,1707
"872",0,0,1739
"873",0,0,1745
"874",0,0,1681
"875",0,0,1760
"876",0,0,1749
"877",0,0,1723
"878",0,0,1723
"879",0,0,1706
"880",0,0,1723
"881",0,0,1697
"882",0,0,1712
"883",0,0,1708
"884",0,0,1692
"885",0,0,1747
"886",0,0,1751
"887",0,0,1714
"888",0,0,1693
"889",0,0,1695
"890",0,0,1744
"891",0,0,1759
"892",0,0,1711
"893",0,0,1681
"894",0,0,1696
"895",0,0,1701
"896",0,0,1674
"897",0,0,1700
"898",0,0,1689
"899",0,0,1696
"900",0,0,1713
"901",0,0,1726
"902",0,0,1655
"903",0,0,1709
"904",0,0,1698
"905",0,0,1769
"906",0,0,1700
"907",0,0,1678
"908",0,0,1700
"909",0,0,1698
"910",0,0,1710
"911",0,0,1702
"912",0,0,1668
"913",0,0,1701
"914",0,0,1734
"915",0,0,1706
"916",0,0,1663
"917",0,0,1694
"918",0,0,1763
"919",0,0,1721
"920",0,0,1694
"921",0,0,1676
"922",0,0,1722
"923",0,0,1744
"924",0,0,1739
"925",0,0,1704
"926",0,0,1722
"927",0,0,1735
"928",0,0,1717
"929",0,0,1688
"930",0,0,1707
"931",0,0,1702
"932",0,0,1675
"933",0,0,1732
"934",0,0,1694
"935",0,0,1720
"936",0,0,1754
"937",0,0,1740
"938",0,0,1738
"939",0,0,1731
"940",0,0,1736
"941",0,0,1748
"942",0,0,1759
"943",0,0,1702
"944",0,0,1678
"945",0,0,1690
"946",0,0,1683
"947",0,0,1713
"948",0,0,1741
"949",0,0,1741
"950",0,0,1717
"951",0,0,1717
"952",0,0,1683
"953",0,0,1693
"954",0,0,1705
"955",0,0,1662
"956",0,0,1689
"957",0,0,1732
"958",0,0,1709
"959",0,0,1702
"960",0,0,1723
"961",0,0,1695
"962",0,0,1707
"963",0,0,1706
"964",0,0,1725
"965",0,0,1739
"966",0,0,1707
"967",0,0,1724
"968",0,0,1726
"969",0,0,1721
"970",0,0,1652
"971",0,0,1675
"972",0,0,1746
"973",0,0,1749
"974",0,0,1737
"975",0,0,1728
"976",0,0,1699
"977",0,0,1758
"978",0,0,1716
"979",0,0,1730
"980",0,0,1715
"981",0,0,1719
"982",0,0,1703
"983",0,0,1717
"984",0,0,1728
"985",0,0,1676
"986",0,0,1683
"987",0,0,1685
"988",0,0,1683
"989",0,0,1705
"990",0,0,1709
"991",0,0,1694
"992",0,0,1701
"993",0,0,1683
"994",0,0,1691
"995",0,0,1696
"996",0,0,1717
"997",0,0,1696
"998",0,0,1731
"999",0,0,1766
"1000",0,0,1756
